gameId,playId,ballCarrierId,ballCarrierDisplayName,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,passLength,penaltyYards,prePenaltyPlayResult,playResult,playNullifiedByPenalty,absoluteYardlineNumber,offenseFormation,defendersInTheBox,passProbability,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPoints,expectedPointsAdded,foulName1,foulName2,foulNFLId1,foulNFLId2,type,action,nflId,tackle,assist,forcedFumble,pff_missedTackle
2022100908,3537,48723,Parker Hesse,(7:52) (Shotgun) M.Mariota pass short middle to P.Hesse to 50 for 9 yards (K.Neal).,4,1,10,ATL,TB,ATL,41,7:52,21,7,C,6.0,,9,9,N,69,SHOTGUN,7.0,0.747284412,0.976784671,0.023215329,-0.006110488,0.006110488,2.360608883,0.981955114,,,,,pass short middle,pass short middle,43306.0,1.0,0.0,0.0,0.0
2022091111,1148,42547,Darren Waller,(8:57) D.Carr pass short middle to D.Waller to LV 45 for 15 yards (N.Adderley).,2,2,5,LV,LAC,LV,30,8:57,10,3,C,11.0,,15,15,N,40,I_FORM,6.0,0.267932802,0.756661031,0.243338969,-0.037408687,0.037408687,1.312854562,1.133666198,,,,,pass short middle,pass short middle,47843.0,1.0,0.0,0.0,0.0
2022103001,2165,54616,Tyler Allgeier,(10:14) (Shotgun) M.Mariota pass short left to T.Allgeier to ATL 23 for 5 yards (D.Jackson).,3,3,17,ATL,CAR,ATL,18,10:14,14,13,C,-5.0,,5,5,N,28,SHOTGUN,5.0,0.908870161,0.599478513,0.400521487,-0.030627687,0.030627687,-1.484903958,-0.639661094,,,,,pass short left,pass short left,46124.0,1.0,0.0,0.0,0.0
2022092511,2903,46096,Rashaad Penny,(:35) (Shotgun) G.Smith pass short left to R.Penny to SEA 28 for 3 yards (M.Walker).,3,1,10,SEA,ATL,SEA,25,0:35,23,27,C,-5.0,,3,3,N,85,SHOTGUN,7.0,0.604373574,0.344335839,0.655664161,-0.018103462,0.018103462,0.98643843,-0.47784495,,,,,pass short left,pass short left,52527.0,1.0,0.0,0.0,0.0
2022091102,3336,46331,Ross Dwelley,(11:55) (Shotgun) T.Lance pass short middle to R.Dwelley to SF 36 for 11 yards (R.Smith).,4,3,10,SF,CHI,SF,25,11:55,13,10,C,11.0,,11,11,N,35,SHOTGUN,6.0,0.976593018,0.632420011,0.367579989,-0.08570905,0.08570905,-0.208932614,1.777092072,,,,,pass short middle,pass short middle,46077.0,1.0,0.0,0.0,0.0
2022100212,1183,46109,Courtland Sutton,(8:50) (Shotgun) R.Wilson pass short right to C.Sutton to LV 9 for 9 yards (J.Abram).,2,3,16,DEN,LV,LV,18,8:50,10,7,C,9.0,,9,9,N,28,SHOTGUN,6.0,0.927468061,0.5757959,0.4242041,-0.001445506,0.001445506,2.996729612,-0.132423952,,,,,pass short right,pass short right,47810.0,1.0,0.0,0.0,0.0
2022102303,1895,52425,CeeDee Lamb,(13:04) (Shotgun) D.Prescott pass short middle to C.Lamb to DAL 29 for 10 yards (J.Okudah).,3,2,9,DAL,DET,DAL,19,13:04,3,6,C,6.0,,10,10,N,91,SHOTGUN,7.0,0.706215322,0.631682504,0.368317496,0.032317799,-0.032317799,0.165306563,1.392676638,,,,,pass short middle,pass short middle,52411.0,1.0,0.0,0.0,0.0
2022110603,3498,43584,Kalif Raymond,(5:02) (Shotgun) J.Goff pass short left to K.Raymond to DET 45 for 8 yards (I.McDuffie).,4,2,9,DET,GB,DET,37,5:02,15,9,C,-2.0,,8,8,N,73,SHOTGUN,6.0,0.501552343,0.873909466,0.126090534,0.033780543,-0.033780543,1.173900559,0.660732427,,,,,pass short left,pass short left,53649.0,1.0,0.0,0.0,0.0
2022100211,1790,46705,Allen Lazard,(:07) (Shotgun) A.Rodgers pass short left to A.Lazard to GB 41 for 6 yards (M.Bryant).,2,1,10,GB,NE,GB,35,0:07,7,10,C,-2.0,,6,6,N,45,SHOTGUN,3.0,0.941939592,0.61503708,0.38496292,0.0,0.0,0.185777368,-0.185777368,,,,,pass short left,pass short left,52991.0,1.0,0.0,0.0,0.0
2022102305,1996,52442,Michael Pittman,"(12:35) (No Huddle, Shotgun) M.Ryan pass short left to M.Pittman to IND 40 for 7 yards (D.Long).",3,3,15,IND,TEN,IND,33,12:35,13,0,C,7.0,,7,7,N,77,SHOTGUN,6.0,0.970584869,0.881258089,0.118741911,0.007425765,-0.007425765,-0.231655959,-0.617905021,,,,,pass short left,pass short left,47971.0,1.0,0.0,0.0,0.0
